#MLRT	#	IV	5	#ML	LRT
be	V	IV	2	be	be
the	D	IV	3	the	the
1st	A	OOV	3	1st	1st
or	&	IV	2	or	or
the	D	IV	3	the	the
last	A	IV	4	las	ast
how	R	IV	3	how	how
will	V	IV	4	wil	ill
u	O	IV	1	u	u
possibly	R	IV	8	pos	bly
sleep	N	IV	5	sle	eep
tonight	R	IV	7	ton	ght
			
Can	V	IV	3	Can	Can
someone	N	IV	7	som	one
like	P	IV	4	lik	ike
skype	^	IV	5	sky	ype
with	P	IV	4	wit	ith
me	O	IV	2	me	me
bosan	!	OOV	5	bos	san
tahap	G	OOV	5	tah	hap
babi	!	IV	4	bab	abi
			
@MrKrest	@	IV	8	@Mr	est
@jag_bros	@	IV	9	@ja	ros
@ogundamisi	@	IV	11	@og	isi
@DanielAkinlami	@	IV	15	@Da	ami
:	,	IV	1	:	:
Jonah	^	IV	5	Jon	nah
Jang	^	IV	4	Jan	ang
is	V	IV	2	is	is
one	$	IV	3	one	one
of	P	IV	2	of	of
Nigeria	^	IV	7	Nig	ria
numerous	A	IV	8	num	ous
elder	A	IV	5	eld	der
state	N	IV	5	sta	ate
men	N	IV	3	men	men
dat	O	IV	3	dat	dat
r	V	IV	1	r	r
basking	V	IV	7	bas	ing
in	P	IV	2	in	in
d	!	IV	1	d	d
ocean	N	IV	5	oce	ean
of	P	IV	2	of	of
ignorance	N	IV	9	ign	nce
			
RT	~	IV	2	RT	RT
@Olla_Ramelan	@	IV	13	@Ol	lan
:	,	IV	1	:	:
Desain	N	OOV	6	Des	ain
Kamar	^	IV	5	Kam	mar
Anak	^	IV	4	Ana	nak
Modern	A	IV	6	Mod	ern
-	,	IV	1	-	-
Kids	N	OOV	4	Kid	ids
Room	N	OOV	4	Roo	oom
Design	N	OOV	6	Des	ign
Ideas	N	OOV	5	Ide	eas
http://t.co/9J0ggMO48y	U	IV	22	htt	48y
			
So	P	IV	2	So	So
Kanye	^	IV	5	Kan	nye
is	V	IV	2	is	is
now	R	IV	3	now	now
officially	R	IV	10	off	lly
a	D	IV	1	a	a
Kardashian	^	IV	10	Kar	ian
??	,	IV	2	??	??
This	D	IV	4	Thi	his
couple	N	IV	6	cou	ple
is	V	IV	2	is	is
is	V	IV	2	is	is
just	R	IV	4	jus	ust
nonsense	N	IV	8	non	nse
LOL	!	OOV	3	LOL	LOL
			
RT	~	IV	2	RT	RT
@linadavison	@	IV	12	@li	son
:	,	IV	1	:	:
@Lalalab_Heyna	@	IV	14	@La	yna
i	O	IV	1	i	i
haven't	V	IV	7	hav	n't
got	V	IV	3	got	got
instagram	^	IV	9	ins	ram
,	,	IV	1	,	,
actually	R	IV	8	act	lly
lol	!	IV	3	lol	lol
but	&	IV	3	but	but
,	,	IV	1	,	,
u	O	IV	1	u	u
know	V	IV	4	kno	now
,	,	IV	1	,	,
Mark	^	IV	4	Mar	ark
looks	V	IV	5	loo	oks
perfect	A	IV	7	per	ect
with	P	IV	4	wit	ith
every	D	IV	5	eve	ery
hair	N	IV	4	hai	air
colour	N	OOV	6	col	our
~	G	OOV	1	~	~
*	,	IV	1	*	*
w	G	IV	1	w	w
*	,	IV	1	*	*
			
Ppl	N	OOV	3	Ppl	Ppl
be	V	IV	2	be	be
like	P	IV	4	lik	ike
:	,	IV	1	:	:
my	D	IV	2	my	my
phone	N	IV	5	pho	one
dry	A	IV	3	dry	dry
with	P	IV	4	wit	ith
5	$	IV	1	5	5
messages	N	IV	8	mes	ges
,	,	IV	1	,	,
10	$	IV	2	10	10
kik	^	IV	3	kik	kik
messages	N	IV	8	mes	ges
,	,	IV	1	,	,
Dms	N	OOV	3	Dms	Dms
on	P	IV	2	on	on
twitter	^	IV	7	twi	ter
and	&	IV	3	and	and
instagram	^	IV	9	ins	ram
.	,	IV	1	.	.
Like	P	OOV	4	Lik	ike
...	~	OOV	3	...	...
Fr	G	IV	2	Fr	Fr
?	,	IV	1	?	?
Dry	A	IV	3	Dry	Dry
?	,	IV	1	?	?
no	!	IV	2	no	no
.	,	IV	1	.	.
			
RT	~	IV	2	RT	RT
@YangYoJi9015	@	IV	13	@Ya	015
:	,	IV	1	:	:
Support	N	OOV	7	Sup	ort
Malaysia	^	IV	8	Mal	sia
.	,	IV	1	.	.
Malaysia	^	IV	8	Mal	sia
Boleh	!	OOV	5	Bol	leh
.	,	IV	1	.	.
And	&	IV	3	And	And
SATU	^	IV	4	SAT	ATU
MALAYSIA	^	IV	8	MAL	SIA
!	,	IV	1	!	!
We	O	IV	2	We	We
Are	V	IV	3	Are	Are
ONE	$	IV	3	ONE	ONE
!!!!	,	IV	4	!!!	!!!
#ThomasCup	#	IV	10	#Th	Cup
			
@MikeTeta6	@	IV	10	@Mi	ta6
kings	N	IV	5	kin	ngs
gna	!	IV	3	gna	gna
take	V	IV	4	tak	ake
it	O	IV	2	it	it
fuck	!	IV	4	fuc	uck
tha	D	IV	3	tha	tha
overrated	A	IV	9	ove	ted
goalie	N	IV	6	goa	lie
n	&	IV	1	n	n
the	D	IV	3	the	the
rangers	N	IV	7	ran	ers
			
RT	~	IV	2	RT	RT
@Amberrnto	@	IV	10	@Am	nto
:	,	IV	1	:	:
Hoho-	!	OOV	5	Hoh	ho-
Jessy	^	IV	5	Jes	ssy
unnie	N	IV	5	unn	nie
told	V	IV	4	tol	old
me	O	IV	2	me	me
she	O	IV	3	she	she
wanted	V	IV	6	wan	ted
to	P	IV	2	to	to
accept	V	IV	6	acc	ept
your	D	IV	4	you	our
love-	!	OOV	5	lov	ve-
			
When	R	OOV	4	Whe	hen
Im	L	IV	2	Im	Im
pissed	V	IV	6	pis	sed
of	P	IV	2	of	of
!	,	IV	1	!	!
Aku	!	OOV	3	Aku	Aku
,	,	IV	1	,	,
Kau	^	IV	3	Kau	Kau
Will	V	IV	4	Wil	ill
be	V	IV	2	be	be
used	V	IV	4	use	sed
!	,	IV	1	!	!
			
Conseal	!	OOV	7	Con	eal
dont	V	IV	4	don	ont
feel	V	IV	4	fee	eel
..	,	IV	2	..	..
dont	V	IV	4	don	ont
let	V	IV	3	let	let
them	O	IV	4	the	hem
know	V	IV	4	kno	now
..	,	IV	2	..	..
			
RT	~	IV	2	RT	RT
@ChaskaBorek	@	IV	12	@Ch	rek
There	X	IV	5	The	ere
has	V	IV	3	has	has
not	R	IV	3	not	not
been	V	IV	4	bee	een
a	D	IV	1	a	a
player	N	IV	6	pla	yer
under	P	IV	5	und	der
20	$	IV	2	20	20
as	P	IV	2	as	as
good	A	IV	4	goo	ood
as	P	IV	2	as	as
WAYNEROONEY	^	IV	11	WAY	NEY
since	P	IV	5	sin	nce
I	O	IV	1	I	I
became	V	IV	6	bec	ame
a	D	IV	1	a	a
manager	N	IV	7	man	ger
here	R	IV	4	her	ere
in	P	IV	2	in	in
1996	$	IV	4	199	996
.	,	IV	1	.	.
--	,	IV	2	--	--
FABIO	^	IV	5	FAB	BIO
CAPELLO	^	IV	7	CAP	LLO
MUFC	^	IV	4	MUF	UFC
			
RT	~	IV	2	RT	RT
@evestevejenko	@	IV	14	@ev	nko
:	,	IV	1	:	:
I	O	IV	1	I	I
live	V	IV	4	liv	ive
for	P	IV	3	for	for
James	^	IV	5	Jam	mes
Francos	^	IV	7	Fra	cos
dirty	A	IV	5	dir	rty
unshaven	A	IV	8	uns	ven
selfies	N	OOV	7	sel	ies
			
@PrinceVincentG	@	IV	15	@Pr	ntG
story	N	IV	5	sto	ory
of	P	IV	2	of	of
my	D	IV	2	my	my
lifeee	N	OOV	6	lif	eee
haha	!	IV	4	hah	aha
			
http://t.co/G5xbXehuYQ	U	IV	22	htt	uYQ
#1	$	IV	2	#1	#1
:	,	IV	1	:	:
Fasta	A	OOV	5	Fas	sta
Pasta	N	OOV	5	Pas	sta
The	D	IV	3	The	The
Microwave	N	OOV	9	Mic	ave
Cooker	N	OOV	6	Coo	ker
Fasta	A	OOV	5	Fas	sta
Pasta	N	OOV	5	Pas	sta
The	D	IV	3	The	The
Microwave	N	OOV	9	Mic	ave
Cookerby	!	OOV	8	Coo	rby
Fasta	A	OOV	5	Fas	sta
Pasta(543	N	OOV	9	Pas	543
...	~	OOV	3	...	...
http://t.co/7xPmeIgZBp	U	IV	22	htt	ZBp
			
I'm	L	IV	3	I'm	I'm
about	P	IV	5	abo	out
to	P	IV	2	to	to
start	V	IV	5	sta	art
spazzing	V	OOV	8	spa	ing
TF	!	IV	2	TF	TF
out	T	IV	3	out	out
fuck	!	IV	4	fuc	uck
holding	V	IV	7	hol	ing
back	R	IV	4	bac	ack
			
U	O	IV	1	U	U
just	R	IV	4	jus	ust
wait	V	IV	4	wai	ait
"	,	IV	1	"	"
@timmybonez	@	IV	11	@ti	nez
:	,	IV	1	:	:
@ennyboss	@	IV	9	@en	oss
errm	!	OOV	4	err	rrm
..	,	IV	2	..	..
what	O	IV	4	wha	hat
really	R	IV	6	rea	lly
happened	V	IV	8	hap	ned
then	R	IV	4	the	hen
pls	!	OOV	3	pls	pls
?	,	IV	1	?	?
"	,	IV	1	"	"
			
Nibo	!	OOV	4	Nib	ibo
?	,	IV	1	?	?
Then	R	OOV	4	The	hen
Omeruo	!	OOV	6	Ome	ruo
z	^	IV	1	z	z
worth	A	IV	5	wor	rth
40m	$	IV	3	40m	40m
"	,	IV	1	"	"
@Olowe_Ife	@	IV	10	@Ol	Ife
:	,	IV	1	:	:
@awozy	@	IV	6	@aw	ozy
@chrizzsantos	@	IV	13	@ch	tos
@hogwarts_viktor	@	IV	16	@ho	tor
i	O	IV	1	i	i
fnk	!	OOV	3	fnk	fnk
he	O	IV	2	he	he
his	D	IV	3	his	his
worth	A	IV	5	wor	rth
d	!	IV	1	d	d
price	N	IV	5	pri	ice
"	,	IV	1	"	"
			
@Icy_Plasma	@	IV	11	@Ic	sma
@AmB_TigrE	@	IV	10	@Am	grE
@OpTic_Scumper	@	IV	14	@Op	per
o	!	IV	1	o	o
srry	!	OOV	4	srr	rry
plasma	N	IV	6	pla	sma
and	&	IV	3	and	and
Luis	^	IV	4	Lui	uis
			
@DoktorG	@	IV	8	@Do	orG
You	O	IV	3	You	You
should	V	IV	6	sho	uld
make	V	IV	4	mak	ake
a	D	IV	1	a	a
playlist	N	OOV	8	pla	ist
of	P	IV	2	of	of
all	D	IV	3	all	all
the	D	IV	3	the	the
500	$	IV	3	500	500
Miles	^	IV	5	Mil	les
mashup	N	IV	6	mas	hup
:	,	IV	1	:	:
http://t.co/c5K0iFv8Le	U	IV	22	htt	8Le
			
RT	~	IV	2	RT	RT
@Jasmine_bay	@	IV	12	@Ja	bay
:	,	IV	1	:	:
Everyone	N	OOV	8	Eve	one
has	V	IV	3	has	has
multiple	A	IV	8	mul	ple
oomfs	N	OOV	5	oom	mfs
,	,	IV	1	,	,
Everytime	R	OOV	9	Eve	ime
I	O	IV	1	I	I
retweet	V	OOV	7	ret	eet
about	P	IV	5	abo	out
oomf	!	IV	4	oom	omf
being	V	IV	5	bei	ing
attractive	A	IV	10	att	ive
I'm	L	IV	3	I'm	I'm
talking	V	IV	7	tal	ing
about	P	IV	5	abo	out
one	$	IV	3	one	one
person	N	IV	6	per	son
...	~	OOV	3	...	...
			
Them	O	IV	4	The	hem
jiggas	!	OOV	6	jig	gas
made	V	IV	4	mad	ade
me	O	IV	2	me	me
do	V	IV	2	do	do
it	O	IV	2	it	it
..	,	IV	2	..	..
(	,	IV	1	(	(
Boosie	^	IV	6	Boo	sie
Voice	N	OOV	5	Voi	ice
)	,	IV	1	)	)
			
@ZiyadSeacrest	@	IV	14	@Zi	est
edge	N	IV	4	edg	dge
of	P	IV	2	of	of
tommorow	N	OOV	8	tom	row
lagi	!	IV	4	lag	agi
best	A	IV	4	bes	est
.	,	IV	1	.	.
Serius	^	IV	6	Ser	ius
			
I	O	IV	1	I	I
miss	V	IV	4	mis	iss
u	O	IV	1	u	u
my	D	IV	2	my	my
bie	^	IV	3	bie	bie
!	,	IV	1	!	!
Where	R	OOV	5	Whe	ere
u	O	IV	1	u	u
wanna	V	IV	5	wan	nna
out	T	IV	3	out	out
wif	!	IV	3	wif	wif
me	O	IV	2	me	me
?	,	IV	1	?	?
Have	V	IV	4	Hav	ave
a	D	IV	1	a	a
wonderful	A	IV	9	won	ful
day	N	IV	3	day	day
like	P	IV	4	lik	ike
a	D	IV	1	a	a
swan	N	IV	4	swa	wan
day	N	IV	3	day	day
..	,	IV	2	..	..
haha	!	IV	4	hah	aha
..	,	IV	2	..	..
			
neikeiishav	!	OOV	11	nei	hav
:	,	IV	1	:	:
My	D	IV	2	My	My
heart	N	IV	5	hea	art
where	R	IV	5	whe	ere
are	V	IV	3	are	are
u	O	IV	1	u	u
,	,	IV	1	,	,
i	O	IV	1	i	i
can	V	IV	3	can	can
go	V	IV	2	go	go
out	T	IV	3	out	out
now	R	IV	3	now	now
!	,	IV	1	!	!
/	,	IV	1	/	/
hehe	!	IV	4	heh	ehe
,	,	IV	1	,	,
let's	L	IV	5	let	t's
go	V	IV	2	go	go
to	P	IV	2	to	to
the	D	IV	3	the	the
beach	N	IV	5	bea	ach
.	,	IV	1	.	.
Lol	!	IV	3	Lol	Lol
,	,	IV	1	,	,
happy	A	IV	5	hap	ppy
me	O	IV	2	me	me
it	O	IV	2	it	it
			
Imma	L	IV	4	Imm	mma
turn	V	IV	4	tur	urn
up	T	IV	2	up	up
for	P	IV	3	for	for
bae	N	IV	3	bae	bae
			
RT	~	IV	2	RT	RT
@Afoley21	@	IV	9	@Af	y21
:	,	IV	1	:	:
Hehehe	!	OOV	6	Heh	ehe
"	,	IV	1	"	"
@teddyferrari1	@	IV	14	@te	ri1
:	,	IV	1	:	:
You	O	IV	3	You	You
all	D	IV	3	all	all
know	V	IV	4	kno	now
Mike	^	IV	4	Mik	ike
Nkansah	^	IV	7	Nka	sah
is	V	IV	2	is	is
mean	V	IV	4	mea	ean
...	~	OOV	3	...	...
ryt	!	IV	3	ryt	ryt
..??	,	IV	4	..?	.??
"	,	IV	1	"	"
			
&	&	OOV	1	&	&
I	O	IV	1	I	I
refuse	V	IV	6	ref	use
to	P	IV	2	to	to
let	V	IV	3	let	let
my	D	IV	2	my	my
moms	N	IV	4	mom	oms
loose	A	IV	5	loo	ose
me	O	IV	2	me	me
to	P	IV	2	to	to
some	D	IV	4	som	ome
bullsh	!	IV	6	bul	lsh
.	,	IV	1	.	.
t	G	IV	1	t	t
			
@LastQueenJay__	@	IV	15	@La	y__
@__nylagrace	@	IV	12	@__	ace
yes	!	IV	3	yes	yes
yall	O	IV	4	yal	all
are	V	IV	3	are	are
but	&	IV	3	but	but
yall	O	IV	4	yal	all
just	R	IV	4	jus	ust
keepin	V	IV	6	kee	pin
it	O	IV	2	it	it
on	P	IV	2	on	on
the	D	IV	3	the	the
low	A	IV	3	low	low
but	&	IV	3	but	but
its	L	IV	3	its	its
cool	A	IV	4	coo	ool
Im	L	IV	2	Im	Im
not	R	IV	3	not	not
gone	V	IV	4	gon	one
tell	V	IV	4	tel	ell
no	!	IV	2	no	no
one	$	IV	3	one	one
yall	O	IV	4	yal	all
touch	N	IV	5	tou	uch
my	D	IV	2	my	my
butt	N	IV	4	but	utt
earlier	R	IV	7	ear	ier
			
Good	A	IV	4	Goo	ood
start	V	IV	5	sta	art
LeBron	^	IV	6	LeB	ron
attack	N	IV	6	att	ack
hibbert	^	IV	7	hib	ert
he's	L	IV	4	he'	e's
soft	A	IV	4	sof	oft
#nbaplayoffs	#	IV	12	#nb	ffs
			
@Page_Eater	@	IV	11	@Pa	ter
ahahaha	!	OOV	7	aha	aha
ive	L	IV	3	ive	ive
never	R	IV	5	nev	ver
heard	V	IV	5	hea	ard
that	O	IV	4	tha	hat
before	P	IV	6	bef	ore
lol	!	IV	3	lol	lol
			
Adore	V	OOV	5	Ado	ore
You	O	IV	3	You	You
(	,	IV	1	(	(
Remix	N	OOV	5	Rem	mix
)	,	IV	1	)	)
-	,	IV	1	-	-
Miley	^	IV	5	Mil	ley
Cyrus	^	IV	5	Cyr	rus
&	&	OOV	1	&	&
Cedric	^	IV	6	Ced	ric
Gervais	^	IV	7	Ger	ais
			
RT	~	IV	2	RT	RT
@knockknock0408	@	IV	15	@kn	408
:	,	IV	1	:	:
CHANYEOL	^	IV	8	CHA	EOL
SUHO	^	IV	4	SUH	UHO
SEHUN	^	IV	5	SEH	HUN
from	P	IV	4	fro	rom
tonyselznick	!	OOV	12	ton	ick
ins	N	IV	3	ins	ins
http://t.co/2ku7h6T4WJ	U	IV	22	htt	4WJ
http://t.co/mUGyCUzaYs	U	IV	22	htt	aYs
			
@unicornnigs	@	IV	12	@un	igs
thats	L	OOV	5	tha	ats
pretty	R	IV	6	pre	tty
deep	A	IV	4	dee	eep
...	~	OOV	3	...	...
balls	N	IV	5	bal	lls
deep	A	IV	4	dee	eep
lmao	!	OOV	4	lma	mao
			
RT	~	IV	2	RT	RT
@jvreyes12	@	IV	10	@jv	s12
:	,	IV	1	:	:
Nas	^	IV	3	Nas	Nas
Buie	^	IV	4	Bui	uie
sectional	N	IV	9	sec	nal
champion	N	IV	8	cha	ion
in	P	IV	2	in	in
the	D	IV	3	the	the
discus	!	IV	6	dis	cus
Throw	V	OOV	5	Thr	row
http://t.co/GpdAp5YnqT	U	IV	22	htt	nqT
			
RT	~	IV	2	RT	RT
@FansOfJusBieber	@	IV	16	@Fa	ber
:	,	IV	1	:	:
RT	~	IV	2	RT	RT
for	P	IV	3	for	for
Justin	^	IV	6	Jus	tin
Bieber	^	IV	6	Bie	ber
FAV	!	OOV	3	FAV	FAV
for	P	IV	3	for	for
the	D	IV	3	the	the
Dolce	N	OOV	5	Dol	lce
and	&	IV	3	and	and
Gabbana	^	IV	7	Gab	ana
model	N	IV	5	mod	del
http://t.co/vZmUkVLMmA	U	IV	22	htt	MmA
			
@BrazilStats	@	IV	12	@Br	ats
can	V	IV	3	can	can
you	O	IV	3	you	you
help	V	IV	4	hel	elp
to	P	IV	2	to	to
confirm	V	IV	7	con	irm
the	D	IV	3	the	the
David	^	IV	5	Dav	vid
Luiz	^	IV	4	Lui	uiz
impending	A	IV	9	imp	ing
transfer	N	IV	8	tra	fer
to	P	IV	2	to	to
PSG	^	IV	3	PSG	PSG
pls	!	OOV	3	pls	pls
?	,	IV	1	?	?
			
RT	~	IV	2	RT	RT
@newtmasisgood	@	IV	14	@ne	ood
:	,	IV	1	:	:
@themazefucker	@	IV	14	@th	ker
nah	!	IV	3	nah	nah
i	O	IV	1	i	i
wouldnt	V	OOV	7	wou	dnt
xD	E	OOV	2	xD	xD
			
Balotelli	^	IV	9	Bal	lli
:	,	IV	1	:	:
"	,	IV	1	"	"
I'm	L	IV	3	I'm	I'm
more	A	IV	4	mor	ore
mature	A	IV	6	mat	ure
than	P	IV	4	tha	han
my	D	IV	2	my	my
age	N	IV	3	age	age
"	,	IV	1	"	"
xD	E	OOV	2	xD	xD
			
But	&	IV	3	But	But
I	O	IV	1	I	I
sped	V	IV	4	spe	ped
off	T	IV	3	off	off
in	P	IV	2	in	in
the	D	IV	3	the	the
Benzy	!	OOV	5	Ben	nzy
,	,	IV	1	,	,
I	O	IV	1	I	I
see	V	IV	3	see	see
the	D	IV	3	the	the
envy	N	IV	4	env	nvy
when	R	IV	4	whe	hen
I'm	L	IV	3	I'm	I'm
causin	V	IV	6	cau	sin
a	D	IV	1	a	a
frenzy	N	IV	6	fre	nzy
.	,	IV	1	.	.
			
Eiichiro	!	OOV	8	Eii	iro
Oda	^	IV	3	Oda	Oda
sensei	N	OOV	6	sen	sei
had	V	IV	3	had	had
a	D	IV	1	a	a
tonsillitis	N	IV	11	ton	tis
operation	N	IV	9	ope	ion
,	,	IV	1	,	,
so	R	IV	2	so	so
OP	!	IV	2	OP	OP
will	V	IV	4	wil	ill
not	R	IV	3	not	not
be	V	IV	2	be	be
here	R	IV	4	her	ere
for	P	IV	3	for	for
2	$	IV	1	2	2
weeks	N	IV	5	wee	eks
.	,	IV	1	.	.
Bir	G	IV	3	Bir	Bir
haftada	!	OOV	7	haf	ada
hem	!	IV	3	hem	hem
GOT'u	!	OOV	5	GOT	T'u
hem	!	IV	3	hem	hem
OP'u	!	OOV	4	OP'	P'u
kaybetmek	!	OOV	9	kay	mek
koydu	!	OOV	5	koy	ydu
!	,	IV	1	!	!
			
@pearforest	@	IV	11	@pe	est
what	O	IV	4	wha	hat
hav	V	IV	3	hav	hav
u	O	IV	1	u	u
done	V	IV	4	don	one
			
RT	~	IV	2	RT	RT
@UncleTrini	@	IV	11	@Un	ini
:	,	IV	1	:	:
cuz	P	IV	3	cuz	cuz
we	O	IV	2	we	we
lookin	V	IV	6	loo	kin
at	P	IV	2	at	at
the	D	IV	3	the	the
tiger	N	IV	5	tig	ger
RT	~	IV	2	RT	RT
@xHollywoodCourt	@	IV	16	@xH	urt
:	,	IV	1	:	:
Real	A	IV	4	Rea	eal
niggas	N	OOV	6	nig	gas
dont	V	IV	4	don	ont
even	R	IV	4	eve	ven
notice	N	IV	6	not	ice
the	D	IV	3	the	the
lion	N	IV	4	lio	ion
http://t.co/Y9N6XjBOtM	U	IV	22	htt	OtM
			
@230cutie	@	IV	9	@23	tie
jst	R	OOV	3	jst	jst
calm	A	IV	4	cal	alm
down	T	IV	4	dow	own
babygirl	N	OOV	8	bab	irl
.	,	IV	1	.	.
im	L	IV	2	im	im
bout	P	IV	4	bou	out
to	P	IV	2	to	to
text	N	IV	4	tex	ext
you	O	IV	3	you	you
.	,	IV	1	.	.
			
RT	~	IV	2	RT	RT
@leezansabrina	@	IV	14	@le	ina
:	,	IV	1	:	:
@Aqimeir	@	IV	8	@Aq	eir
oh	!	IV	2	oh	oh
bah	!	IV	3	bah	bah
.	,	IV	1	.	.
gemorning	!	OOV	9	gem	ing
!	,	IV	1	!	!
xD	E	OOV	2	xD	xD
			
RT	~	IV	2	RT	RT
@chloeonvine	@	IV	12	@ch	ine
:	,	IV	1	:	:
when	R	IV	4	whe	hen
ur	L	IV	2	ur	ur
imessage	^	IV	8	ime	age
isnt	V	OOV	4	isn	snt
working	V	IV	7	wor	ing
and	&	IV	3	and	and
you	O	IV	3	you	you
have	V	IV	4	hav	ave
to	P	IV	2	to	to
send	V	IV	4	sen	end
it	O	IV	2	it	it
as	P	IV	2	as	as
a	D	IV	1	a	a
text	N	IV	4	tex	ext
message	N	IV	7	mes	age
http://t.co/10XDfRdUWJ	U	IV	22	htt	UWJ
			
Lmfao	!	OOV	5	Lmf	fao
breh	N	OOV	4	bre	reh
@GhostRAW	@	IV	9	@Gh	RAW
.	,	IV	1	.	.
He	O	IV	2	He	He
Talkn	V	OOV	5	Tal	lkn
bout	P	IV	4	bou	out
gleesh	!	OOV	6	gle	esh
RT	~	IV	2	RT	RT
@Unkle_Skeeter	@	IV	14	@Un	ter
:	,	IV	1	:	:
@Mackilo	@	IV	8	@Ma	ilo
bra	N	IV	3	bra	bra
sounded	V	IV	7	sou	ded
like	P	IV	4	lik	ike
chief	N	IV	5	chi	ief
keef	N	IV	4	kee	eef
wit	P	IV	3	wit	wit
diwn	!	OOV	4	diw	iwn
syndrome	N	IV	8	syn	ome
lmfaoooo	!	OOV	8	lmf	ooo
			
Nice	A	IV	4	Nic	ice
Arange	^	IV	6	Ara	nge
In	P	IV	2	In	In
La	^	IV	2	La	La
Finca	^	IV	5	Fin	nca
Dinning	V	OOV	7	Din	ing
Table	N	OOV	5	Tab	ble
That	O	IV	4	Tha	hat
Wooden	A	OOV	6	Woo	den
Material	N	OOV	8	Mat	ial
Of	P	IV	2	Of	Of
Furnitures	N	OOV	10	Fur	res
Make	V	IV	4	Mak	ake
Beauty	N	OOV	6	Bea	uty
View	N	OOV	4	Vie	iew
Of	P	IV	2	Of	Of
Object	N	OOV	6	Obj	ect
http://t.co/Hae7LgcKVl	U	IV	22	htt	KVl
			
@cupidstal	@	IV	10	@cu	tal
@xoceyet	@	IV	8	@xo	yet
@GGTAEYER	@	IV	9	@GG	YER
@fixgurls	@	IV	9	@fi	rls
@X0S3HUN	@	IV	8	@X0	HUN
@EXO_baekhyun06	@	IV	15	@EX	n06
KESIP	!	OOV	5	KES	SIP
QM	^	IV	2	QM	QM
JUUDH	^	IV	5	JUU	UDH
MA	!	IV	2	MA	MA
Q	N	IV	1	Q	Q
:(	E	OOV	2	:(	:(
			
Sally	^	IV	5	Sal	lly
doesn't	V	IV	7	doe	n't
realized	V	IV	8	rea	zed
his	D	IV	3	his	his
avi	N	IV	3	avi	avi
is	V	IV	2	is	is
making	V	IV	6	mak	ing
him	O	IV	3	him	him
as	P	IV	2	as	as
Chode	N	OOV	5	Cho	ode
Chomper	^	IV	7	Cho	per
			
Bored	A	OOV	5	Bor	red
chilln	V	IV	6	chi	lln
trying	V	IV	6	try	ing
to	P	IV	2	to	to
find	V	IV	4	fin	ind
some	D	IV	4	som	ome
to	P	IV	2	to	to
do	V	IV	2	do	do
havnt	V	OOV	5	hav	vnt
been	V	IV	4	bee	een
on	P	IV	2	on	on
twitter	^	IV	7	twi	ter
in	P	IV	2	in	in
forever	R	IV	7	for	ver
lol	!	IV	3	lol	lol
			
Happy	A	OOV	5	Hap	ppy
Campaigning	V	OOV	11	Cam	ing
New	A	IV	3	New	New
Year	N	OOV	4	Yea	ear
from	P	IV	4	fro	rom
UKIP	^	IV	4	UKI	KIP
-	,	IV	1	-	-
A	D	IV	1	A	A
New	A	IV	3	New	New
Year	N	OOV	4	Yea	ear
message	N	IV	7	mes	age
from	P	IV	4	fro	rom
UKIP	^	IV	4	UKI	KIP
Leader	N	OOV	6	Lea	der
Nigel	^	IV	5	Nig	gel
Farage	^	IV	6	Far	age
looks	V	IV	5	loo	oks
back	R	IV	4	bac	ack
at	P	IV	2	at	at
2012	$	IV	4	201	012
...	~	OOV	3	...	...
http://t.co/Y5UCxj4xrM	U	IV	22	htt	xrM
			
Why	R	IV	3	Why	Why
dese	!	IV	4	des	ese
niggas	N	OOV	6	nig	gas
think	V	IV	5	thi	ink
dey	O	IV	3	dey	dey
doin	V	IV	4	doi	oin
summn	N	OOV	5	sum	mmn
			
RT	~	IV	2	RT	RT
@M1NSEOKS	@	IV	9	@M1	OKS
:	,	IV	1	:	:
"	,	IV	1	"	"
fansites	N	OOV	8	fan	tes
giving	V	IV	6	giv	ing
free	A	IV	4	fre	ree
merch	N	IV	5	mer	rch
,	,	IV	1	,	,
lightsticks	^	IV	11	lig	cks
and	&	IV	3	and	and
members	N	IV	7	mem	ers
logo	N	IV	4	log	ogo
stamps	N	IV	6	sta	mps
on	P	IV	2	on	on
the	D	IV	3	the	the
concert	N	IV	7	con	ert
venue	N	IV	5	ven	nue
"	,	IV	1	"	"
me	O	IV	2	me	me
:	,	IV	1	:	:
http://t.co/vdgPUbIGUZ	U	IV	22	htt	GUZ
			
yass	!	OOV	4	yas	ass
;)	E	OOV	2	;)	;)
gimmie	L	OOV	6	gim	mie
the	D	IV	3	the	the
xp	E	IV	2	xp	xp
thanks	N	IV	6	tha	nks
http://t.co/psxp2wcQ3B	U	IV	22	htt	Q3B
			
PROBLEM	N	OOV	7	PRO	LEM
WENT	V	OOV	4	WEN	ENT
PLATINUM	N	OOV	8	PLA	NUM
PROUD	A	OOV	5	PRO	OUD
ISNT	V	OOV	4	ISN	SNT
EVEN	R	OOV	4	EVE	VEN
THE	D	OOV	3	THE	THE
WORD	!	OOV	4	WOR	ORD
IM	L	IV	2	IM	IM
SO	R	IV	2	SO	SO
HAPPY	A	OOV	5	HAP	PPY
HEARING	V	OOV	7	HEA	ING
IT	O	IV	2	IT	IT
SHE	O	OOV	3	SHE	SHE
IS	V	IV	2	IS	IS
WELL	!	OOV	4	WEL	ELL
DESERVED	V	OOV	8	DES	VED
			
grabe	!	IV	5	gra	abe
after	P	IV	5	aft	ter
2	$	IV	1	2	2
